Time,R0,HospitalLag,Dead,Susceptible,Hospital,RecoveredMild,RecoveredSevere,RecoveredTotal,Infected,Exposed,Sum,Run
2020-05-05 00:36:00.000001,1.6680000000000004,8,0.2675575041659033,277943.7592336981,0.6409817575945126,31.303202549653477,0.9000332799792451,32.20323582963272,9.077643372200715,6.102259466262995,278000.0000000018,2
2020-05-06 00:36:00.000001,1.6960000000000004,8,0.2741198736164752,277942.21781732974,0.6507101428189941,32.011215346628184,0.9239105201196379,32.93512586674782,9.403424835471304,6.394054448692574,278000.0000000016,2
2020-05-07 00:36:00.000001,1.7240000000000004,8,0.28080864753728274,277940.5930393225,0.6610930715876208,32.735371363147074,0.9481339115338469,33.68350527468092,9.75592369761352,6.708595250637085,278000.00000000146,2
2020-05-08 00:36:00.000001,1.7520000000000004,8,0.2876338848590401,277938.8782286353,0.6721992062278237,33.47718088707711,0.972725706270131,34.449906593347244,10.137111499062797,7.047812626592813,278000.00000000146,2
2020-05-09 00:36:00.000001,1.7800000000000005,8,0.29460647345657826,277937.0661193642,0.6841008536900465,34.23826006884312,0.9977106425836875,35.2359707114268,10.549157785588598,7.4138272856648975,278000.00000000163,2
2020-05-10 00:36:00.000001,1.8080000000000005,8,0.3017381898273336,277935.1487906828,0.6968744380149936,35.02033965880429,1.0231160670408066,36.04345572584509,10.994449334891037,7.808969979540402,278000.0000000016,2
2020-05-11 00:36:00.000001,1.8360000000000005,8,0.3090417657826679,277933.11760021513,0.7106010196376807,35.825274781498756,1.048972072874204,36.874246854372956,11.475611598137482,8.235803913439081,278000.0000000016,2
2020-05-12 00:36:00.000001,1.864,8,0.31653096279453036,277930.9631100672,0.7253668658197246,36.65505583398507,1.075311656246137,37.7303674902312,11.995532614180021,8.697149757814573,278000.00000000134,2
2020-05-13 00:36:00.000001,1.8920000000000001,8,0.32422065472147427,277928.67500465544,0.741264077222635,37.51182060838343,1.1021708922118956,38.613991500595326,12.557389686087117,9.196113575887132,278000.00000000134,2
2020-05-14 00:36:00.000001,1.9200000000000002,8,0.3321269197287989,277926.2419993532,0.7583912764134453,38.397867752867874,1.1295891323381528,39.52745688520603,13.164679146014786,9.736118023996905,278000.00000000134,2
2020-05-15 00:36:00.000001,1.9480000000000002,8,0.3402671423188276,277923.6517388596,0.776854364941776,39.31567170097755,1.1576092261202435,40.4732809270978,13.821249575855616,10.320937229035582,278000.00000000105,2
2020-05-16 00:36:00.000001,1.9760000000000002,8,0.3486601265004382,277920.8906840513,0.7967673565577169,40.26789921641747,1.1862777685619164,41.454176984979384,14.531338898159657,10.954735800688026,278000.00000000105,2
2020-05-17 00:36:00.000001,2.0040000000000004,8,0.3573262212534807,277917.9439859194,0.8182532951672787,41.257427719742445,1.2156453765330433,42.473073096275485,15.299615805254552,11.64211249683665,278000.00000000093,2
2020-05-18 00:36:00.000001,2.032,8,0.36628745958545333,277914.7953450204,0.8414452672627425,42.28736558474745,1.2457669968083267,43.533132581555776,16.131226055156056,12.388149129315053,278000.0000000011,2
2020-05-19 00:36:00.000001,2.0600000000000005,8,0.3755677126367678,277911.4268546564,0.8664875198370694,43.36107461632491,1.27670224901691,44.63777686534182,17.031844231746273,13.198465375452841,278000.00000000105,2
2020-05-20 00:36:00.000001,2.088,8,0.3851928604694384,277907.8188257813,0.8935366962147466,44.48219494835123,1.3085158071033025,45.79071075545453,18.007731644944926,14.079280249906796,278000.00000000116,2
2020-05-21 00:36:00.000001,2.1160000000000005,8,0.3951909813746694,277903.9495913542,0.9227632038287674,45.654672630227644,1.3412778233191305,46.995950453546776,19.065801135523525,15.03748109270163,278000.00000000116,2
2020-05-22 00:36:00.000001,2.144,8,0.40559256176058717,277899.795287577,0.9543527297704649,46.882790204480386,1.37506439923873,48.25785460371912,20.21368965032298,16.08070104500631,278000.00000000116,2
